,experience,train,epoch,itrs,loss,accuracy
12,base_cnn_4epochs,0,2,2000,1.3954200032800437,0
13,base_cnn_4epochs,1,2,2000,1.795075306892395,0
14,base_cnn_4epochs,0,2,4000,1.3764228482991456,0
15,base_cnn_4epochs,1,2,4000,1.7895869350433349,0
16,base_cnn_4epochs,0,2,6000,1.3487982011586428,0
17,base_cnn_4epochs,1,2,6000,1.736012179851532,0
18,base_cnn_4epochs,0,2,8000,1.327651174634695,0
19,base_cnn_4epochs,1,2,8000,1.8435389494895935,0
20,base_cnn_4epochs,0,2,10000,1.3031167207211256,0
21,base_cnn_4epochs,1,2,10000,1.718759877681732,0
22,base_cnn_4epochs,0,2,12000,1.2774508928209543,0
23,base_cnn_4epochs,1,2,12000,1.7652795457839965,0
24,base_cnn_4epochs,0,3,2000,1.2139994378983974,0
25,base_cnn_4epochs,1,3,2000,1.9006065344810485,0
26,base_cnn_4epochs,0,3,4000,1.206454627007246,0
27,base_cnn_4epochs,1,3,4000,1.7236939120292663,0
28,base_cnn_4epochs,0,3,6000,1.2160257345288992,0
29,base_cnn_4epochs,1,3,6000,1.623724982738495,0
30,base_cnn_4epochs,0,3,8000,1.203270186558366,0
31,base_cnn_4epochs,1,3,8000,1.714782211780548,0
32,base_cnn_4epochs,0,3,10000,1.1968024843335152,0
33,base_cnn_4epochs,1,3,10000,1.6287488317489625,0
34,base_cnn_4epochs,0,3,12000,1.159516001328826,0
35,base_cnn_4epochs,1,3,12000,1.632553629875183,0
36,base_cnn_4epochs,0,4,2000,1.1053631383776665,0
37,base_cnn_4epochs,1,4,2000,1.7826822781562806,0
38,base_cnn_4epochs,0,4,4000,1.0995868853330613,0
39,base_cnn_4epochs,1,4,4000,1.7116396498680115,0
40,base_cnn_4epochs,0,4,6000,1.1168944827616214,0
41,base_cnn_4epochs,1,4,6000,1.675169162750244,0
42,base_cnn_4epochs,0,4,8000,1.1107091132104396,0
43,base_cnn_4epochs,1,4,8000,1.6046523237228394,0
44,base_cnn_4epochs,0,4,10000,1.0910440548211335,0
45,base_cnn_4epochs,1,4,10000,1.6683532214164734,0
46,base_cnn_4epochs,0,4,12000,1.0944199467599391,0
47,base_cnn_4epochs,1,4,12000,1.686225037574768,0
48,base_cnn_4epochs,0,0,0,0.0,59.8
0,base_cnn_augmented_data,0,1,2000,2.1985772266387937,0
1,base_cnn_augmented_data,1,1,2000,2.0144976496696474,0
2,base_cnn_augmented_data,0,1,4000,1.9566041665375233,0
3,base_cnn_augmented_data,1,1,4000,1.8742168998718263,0
4,base_cnn_augmented_data,0,1,6000,1.851867543667555,0
5,base_cnn_augmented_data,1,1,6000,1.8099922037124634,0
6,base_cnn_augmented_data,0,1,8000,1.7760673517286778,0
7,base_cnn_augmented_data,1,1,8000,1.7728707933425902,0
8,base_cnn_augmented_data,0,1,10000,1.7258755314350127,0
9,base_cnn_augmented_data,1,1,10000,1.72642991065979,0
10,base_cnn_augmented_data,0,1,12000,1.6897582907676696,0
11,base_cnn_augmented_data,1,1,12000,1.722618567943573,0
12,base_cnn_augmented_data,0,1,14000,1.6410614100247622,0
13,base_cnn_augmented_data,1,1,14000,1.737576925754547,0
14,base_cnn_augmented_data,0,1,16000,1.6145986841619016,0
15,base_cnn_augmented_data,1,1,16000,1.6466235065460204,0
16,base_cnn_augmented_data,0,1,18000,1.595732741266489,0
17,base_cnn_augmented_data,1,1,18000,1.7697209310531616,0
